Dataset,Escenario,Metrica,Iteracion,Tiempo_ms,Memoria_Total_Bytes
IMDB,RemoveArista,AverageShortestPath,1,14650.7,6725448
IMDB,RemoveArista,AverageShortestPath,2,16153.9,6725448
IMDB,RemoveArista,AverageShortestPath,3,14072.3,6725448
IMDB,RemoveArista,AverageShortestPath,4,16108,6725448
IMDB,RemoveArista,AverageShortestPath,5,14524.1,6725448
IMDB,RemoveArista,AverageShortestPath,6,16374.9,6725448
IMDB,RemoveArista,AverageShortestPath,7,14395.8,6725448
IMDB,RemoveArista,AverageShortestPath,8,16196.8,6725448
IMDB,RemoveArista,AverageShortestPath,9,14135,6725448
IMDB,RemoveArista,AverageShortestPath,10,16100.1,6725448
IMDB,RemoveArista,BetweennessCentrality,1,64580.4,8729468
IMDB,RemoveArista,BetweennessCentrality,2,63755.7,8729468
IMDB,RemoveArista,BetweennessCentrality,3,65689.8,8729468
IMDB,RemoveArista,BetweennessCentrality,4,64362.3,8729468
IMDB,RemoveArista,BetweennessCentrality,5,65301.5,8729468
IMDB,RemoveArista,BetweennessCentrality,6,64342.3,8729468
IMDB,RemoveArista,BetweennessCentrality,7,65199.8,8729468
IMDB,RemoveArista,BetweennessCentrality,8,64232.7,8729468
IMDB,RemoveArista,BetweennessCentrality,9,64079.6,8729468
IMDB,RemoveArista,BetweennessCentrality,10,64539,8729468
Red,Construccion,N/A,1,1087.01,103632
Red,Original,DegreeCentrality,1,0.0021,109864
Red,Original,DegreeCentrality,2,0.0014,109864
Red,Original,DegreeCentrality,3,0.0014,109864
Red,Original,DegreeCentrality,4,0.0013,109864
Red,Original,DegreeCentrality,5,0.0013,109864
Red,Original,DegreeCentrality,6,0.0013,109864
Red,Original,DegreeCentrality,7,0.0013,109864
Red,Original,DegreeCentrality,8,0.0013,109864
Red,Original,DegreeCentrality,9,0.0013,109864
Red,Original,DegreeCentrality,10,0.0014,109864
Red,Original,ClosenessCentrality,1,2.7904,119280
Red,Original,ClosenessCentrality,2,2.7997,119280
Red,Original,ClosenessCentrality,3,3.0968,119280
Red,Original,ClosenessCentrality,4,2.9107,119280
Red,Original,ClosenessCentrality,5,2.9457,119280
Red,Original,ClosenessCentrality,6,2.91,119280
Red,Original,ClosenessCentrality,7,2.8932,119280
Red,Original,ClosenessCentrality,8,2.7931,119280
Red,Original,ClosenessCentrality,9,3.0243,119280
Red,Original,ClosenessCentrality,10,2.8408,119280
Red,Original,PageRank,1,0.3411,116096
Red,Original,PageRank,2,0.3295,116096
Red,Original,PageRank,3,0.33,116096
Red,Original,PageRank,4,0.3284,116096
Red,Original,PageRank,5,0.3414,116096
Red,Original,PageRank,6,0.4103,116096
Red,Original,PageRank,7,0.346,116096
Red,Original,PageRank,8,0.3406,116096
Red,Original,PageRank,9,0.3819,116096
Red,Original,PageRank,10,0.337,116096
Red,Original,EccentricityCentrality,1,2.8073,119280
Red,Original,EccentricityCentrality,2,2.9078,119280
Red,Original,EccentricityCentrality,3,2.8642,119280
Red,Original,EccentricityCentrality,4,2.7779,119280
Red,Original,EccentricityCentrality,5,2.7944,119280
Red,Original,EccentricityCentrality,6,2.81,119280
Red,Original,EccentricityCentrality,7,2.9001,119280
Red,Original,EccentricityCentrality,8,2.8455,119280
Red,Original,EccentricityCentrality,9,2.8026,119280
Red,Original,EccentricityCentrality,10,2.8047,119280
Red,Original,HarmonicCentrality,1,2.7343,119280
Red,Original,HarmonicCentrality,2,2.9509,119280
Red,Original,HarmonicCentrality,3,2.7421,119280
Red,Original,HarmonicCentrality,4,2.7237,119280
Red,Original,HarmonicCentrality,5,2.743,119280
Red,Original,HarmonicCentrality,6,2.7652,119280
Red,Original,HarmonicCentrality,7,2.8496,119280
Red,Original,HarmonicCentrality,8,2.7896,119280
Red,Original,HarmonicCentrality,9,2.7386,119280
Red,Original,HarmonicCentrality,10,2.7121,119280
Red,Original,AverageShortestPath,1,2.7584,113048
Red,Original,AverageShortestPath,2,2.8083,113048
Red,Original,AverageShortestPath,3,2.7914,113048
Red,Original,AverageShortestPath,4,2.7373,113048
Red,Original,AverageShortestPath,5,2.7186,113048
Red,Original,AverageShortestPath,6,2.7524,113048
Red,Original,AverageShortestPath,7,2.8479,113048
Red,Original,AverageShortestPath,8,2.8791,113048
Red,Original,AverageShortestPath,9,2.7166,113048
Red,Original,AverageShortestPath,10,2.7635,113048
Red,Original,BetweennessCentrality,1,21.9174,154488
Red,Original,BetweennessCentrality,2,21.6194,154488
Red,Original,BetweennessCentrality,3,21.9019,154488
Red,Original,BetweennessCentrality,4,21.6836,154488
Red,Original,BetweennessCentrality,5,21.7529,154488
Red,Original,BetweennessCentrality,6,21.653,154488
Red,Original,BetweennessCentrality,7,21.8109,154488
Red,Original,BetweennessCentrality,8,21.3653,154488
Red,Original,BetweennessCentrality,9,21.3007,154488
Red,Original,BetweennessCentrality,10,21.3535,154488
Red,AddArista,DegreeCentrality,1,0.0015,109896
Red,AddArista,DegreeCentrality,2,0.0014,109896
Red,AddArista,DegreeCentrality,3,0.0013,109896
Red,AddArista,DegreeCentrality,4,0.0013,109896
Red,AddArista,DegreeCentrality,5,0.0012,109896
Red,AddArista,DegreeCentrality,6,0.0013,109896
Red,AddArista,DegreeCentrality,7,0.0013,109896
Red,AddArista,DegreeCentrality,8,0.0013,109896
Red,AddArista,DegreeCentrality,9,0.0013,109896
Red,AddArista,DegreeCentrality,10,0.0013,109896
Red,AddArista,ClosenessCentrality,1,3.6154,119312
Red,AddArista,ClosenessCentrality,2,3.6424,119312
Red,AddArista,ClosenessCentrality,3,3.6538,119312
Red,AddArista,ClosenessCentrality,4,3.8482,119312
Red,AddArista,ClosenessCentrality,5,4.2481,119312
Red,AddArista,ClosenessCentrality,6,4.1139,119312
Red,AddArista,ClosenessCentrality,7,3.8839,119312
Red,AddArista,ClosenessCentrality,8,4.3704,119312
Red,AddArista,ClosenessCentrality,9,3.7137,119312
Red,AddArista,ClosenessCentrality,10,3.7308,119312
Red,AddArista,PageRank,1,0.3287,116128
Red,AddArista,PageRank,2,0.343,116128
Red,AddArista,PageRank,3,0.3266,116128
Red,AddArista,PageRank,4,0.3254,116128
Red,AddArista,PageRank,5,0.3275,116128
Red,AddArista,PageRank,6,0.3253,116128
Red,AddArista,PageRank,7,0.3252,116128
Red,AddArista,PageRank,8,0.3363,116128
Red,AddArista,PageRank,9,0.328,116128
Red,AddArista,PageRank,10,0.3281,116128
Red,AddArista,EccentricityCentrality,1,3.7179,119312
Red,AddArista,EccentricityCentrality,2,3.752,119312
Red,AddArista,EccentricityCentrality,3,3.6981,119312
Red,AddArista,EccentricityCentrality,4,3.7736,119312
Red,AddArista,EccentricityCentrality,5,3.7194,119312
Red,AddArista,EccentricityCentrality,6,3.7497,119312
